Year,Position,Name,Academy,Age,Sexo,Belt,Peso
2022,1,Ziare Emmanuel Allen,Team Lloyd Irvin,Juvenile 1,Male,Blue,Rooster (107.00lb)
2022,1,Cauã Hernandes Leonor,Double Five,Juvenile 1,Male,Blue,Light-Feather (118.00lb)
2022,2,Jorge Antonio Macías Arista,Renzo Gracie Mexico,Juvenile 1,Male,Blue,Light-Feather (118.00lb)
2022,3,Ian Gaxiola,Double Five,Juvenile 1,Male,Blue,Light-Feather (118.00lb)
2022,3,Mattia Baetens,Bad Boys JJ,Juvenile 1,Male,Blue,Light-Feather (118.00lb)
2022,1,Alexander Adrian Osorio Mendez,Form Jiu Jitsu Academy,Juvenile 1,Male,Blue,Feather (129.00lb)
2022,2,Xavier David Oliveira,Atos Jiu-Jitsu,Juvenile 1,Male,Blue,Feather (129.00lb)
2022,3,Marcio Santana Ferreira de Vares,Atos Jiu-Jitsu,Juvenile 1,Male,Blue,Feather (129.00lb)
2022,3,Muhammad El Kheir,MyBJJ Team,Juvenile 1,Male,Blue,Feather (129.00lb)
2022,1,Nicolas Andrade Lobo,Gracie Barra,Juvenile 1,Male,Blue,Light (141.00lb)
2022,2,Dominic J. Manno,Art of Jiu Jitsu,Juvenile 1,Male,Blue,Light (141.00lb)
2022,3,Devin Patrick Riley,Team Lloyd Irvin,Juvenile 1,Male,Blue,Light (141.00lb)
2022,3,Vincent William Barber,LEAD BJJ,Juvenile 1,Male,Blue,Light (141.00lb)
2022,1,Cash Alexander Ficker,Atos Jiu-Jitsu,Juvenile 1,Male,Blue,Middle (152.00lb)
2022,2,Legend Dominion Green-Coutee,LCCT - Combat Team,Juvenile 1,Male,Blue,Middle (152.00lb)
2022,3,Brady Ramey,Watkins Wrecking Crew,Juvenile 1,Male,Blue,Middle (152.00lb)
2022,3,Phillip Joshua Brovko,CheckMat,Juvenile 1,Male,Blue,Middle (152.00lb)
2022,1,Park Jaewoon,John Frankl Jiu-Jitsu,Juvenile 1,Male,Blue,Medium-Heavy (163.00lb)
2022,2,Noah Tyler Chua Torres,Atos Jiu-Jitsu,Juvenile 1,Male,Blue,Medium-Heavy (163.00lb)
2022,3,Cauã Levi dos Santos Santana,Six Blades Jiu-Jitsu,Juvenile 1,Male,Blue,Medium-Heavy (163.00lb)
2022,3,Tyson Beatty,Atos Jiu-Jitsu,Juvenile 1,Male,Blue,Medium-Heavy (163.00lb)
2022,1,Chilli Lucien Harel,Art of Jiu Jitsu,Juvenile 1,Male,Blue,Heavy (175.00lb)
2022,2,Constantine Michael Chalvantzis,Xcell Jiu-Jitsu Academy,Juvenile 1,Male,Blue,Heavy (175.00lb)
2022,1,Caleb Eli Nascimento,Nova União,Juvenile 1,Male,Blue,Ultra-Heavy
2022,2,Matteo Alonzo Mendez,CheckMat,Juvenile 1,Male,Blue,Ultra-Heavy
2022,1,Nicolas Andrade Lobo,Gracie Barra,Juvenile 1,Male,Blue,Open Class Light
2022,2,Devin Patrick Riley,Team Lloyd Irvin,Juvenile 1,Male,Blue,Open Class Light
2022,3,Cauã Hernandes Leonor,Double Five,Juvenile 1,Male,Blue,Open Class Light
2022,3,Dominic J. Manno,Art of Jiu Jitsu,Juvenile 1,Male,Blue,Open Class Light
2022,1,Chilli Lucien Harel,Art of Jiu Jitsu,Juvenile 1,Male,Blue,Open Class Heavy
2022,2,Park Jaewoon,John Frankl Jiu-Jitsu,Juvenile 1,Male,Blue,Open Class Heavy
2022,3,Matteo Alonzo Mendez,CheckMat,Juvenile 1,Male,Blue,Open Class Heavy
2022,3,Noah Tyler Chua Torres,Atos Jiu-Jitsu,Juvenile 1,Male,Blue,Open Class Heavy
2022,1,Reagan Hoskinson,Watkins Wrecking Crew,Juvenile 1,Female,Blue,Light-Feather (106.60lb)
2022,2,Zuzanna Maja Kowalska,ZR Team Association,Juvenile 1,Female,Blue,Light-Feather (106.60lb)
2022,3,Sarah Daryana De La Pena Ochoa,Soul Fighters Texas,Juvenile 1,Female,Blue,Light-Feather (106.60lb)
2022,1,Mia Funegra,Art of Jiu Jitsu,Juvenile 1,Female,Blue,Feather (116.00lb)
2022,2,Emily Lynn Leyva,Atos Jiu-Jitsu,Juvenile 1,Female,Blue,Feather (116.00lb)
2022,3,Hazel Marie Vallejo,Cleber Jiu-Jitsu Visalia,Juvenile 1,Female,Blue,Feather (116.00lb)
2022,3,Riya Sachin Menon,Alliance,Juvenile 1,Female,Blue,Feather (116.00lb)
2022,1,Lillian Jane Marchand,Atos Jiu-Jitsu,Juvenile 1,Female,Blue,Light (125.00lb)
2022,2,Ashlee Funegra,Art of Jiu Jitsu,Juvenile 1,Female,Blue,Light (125.00lb)
2022,3,Malibu Isabella Rocco,Pedigo Submission Fighting,Juvenile 1,Female,Blue,Light (125.00lb)
2022,3,Rhyanna Irene Prata,Cascao Jiu-Jitsu,Juvenile 1,Female,Blue,Light (125.00lb)
